Município;Cargo;Nome;Partido;Genero
LIMOEIRO;VEREADOR;NILDO DO SER√ÅFICO;MDB;MASCULINO
LIMOEIRO;VEREADOR;Z√âLIA DE RIBEIRO DO MEL;PODE;FEMININO
PALMEIRINA;VEREADOR;Z√â MARCELINO;PP;MASCULINO
PALMEIRINA;VEREADOR;TOINHO SANTANA;PP;MASCULINO
SANTA TEREZINHA;VEREADOR;DOUTORA VAL√âRIA;PP;FEMININO
AFOGADOS DA INGAZEIRA;VEREADOR;DOUGLAS ELETRICISTA;MDB;MASCULINO
AFOGADOS DA INGAZEIRA;VEREADOR;RAIMUNDO DO FOTO;PSB;MASCULINO
CUST√ìDIA;VEREADOR;ANDERSON DE MARIA DO SINDICATO;PSD;MASCULINO
GRANITO;VEREADOR;ANA MARIA;PT;FEMININO
MACAPARANA;VEREADOR;TONY MOURA;PP;MASCULINO
MACAPARANA;VEREADOR;JAIR NETO;PODE;MASCULINO
MANARI;VEREADOR;GISELMA DE SIM√ÉO;PP;FEMININO
MANARI;VEREADOR;ERALDO;PSDB;MASCULINO
MANARI;VEREADOR;CICERO TUTA;PSDB;MASCULINO
MANARI;VEREADOR;ANDR√â DE DEQUINHA;PSDB;MASCULINO
MANARI;VEREADOR;JAILSON ARAUJO;REPUBLICANOS;MASCULINO
S√ÉO JOS√â DA COROA GRANDE;VEREADOR;DILSON LINS;SOLIDARIEDADE;MASCULINO
S√ÉO JOS√â DA COROA GRANDE;VEREADOR;RAY DE ODACIR;PSD;MASCULINO
VERTENTE DO L√âRIO;VEREADOR;SAULO DO MERCADINHO;PT;MASCULINO
ALIAN√áA;VEREADOR;DIND√î DE CAUEIRAS;PP;MASCULINO
BREJINHO;VEREADOR;LAN DE Z√â BIRRO;PODE;MASCULINO
LAGOA GRANDE;VEREADOR;PROFESSOR VAV√Å;PT;MASCULINO
PANELAS;VEREADOR;JOELMO DO ALFAIATE;PSDB;MASCULINO
PANELAS;VEREADOR;ANDR√â MUNIZ;PSB;MASCULINO
√ÅGUA PRETA;VEREADOR;LU DO UNA CITY;PSDB;MASCULINO
BEZERROS;VEREADOR;JO√ÉO MOTOS;MDB;MASCULINO
BEZERROS;VEREADOR;Z√â AMARO;PSB;MASCULINO
BEZERROS;VEREADOR;EMANUEL DE BOAS NOVAS;UNI√ÉO;MASCULINO
IGUARACY;VEREADOR;R√îMULO LOPES;AVANTE;MASCULINO
JUREMA;VEREADOR;CARLOS MIGUEL;UNI√ÉO;MASCULINO
JUREMA;VEREADOR;JOSA DE DEDA;PSB;MASCULINO
PALMARES;VEREADOR;ANDREZA;PSDB;FEMININO
PALMARES;VEREADOR;ANT√îNIO LOUREIRO;PSDB;MASCULINO
PALMARES;VEREADOR;THIAGO PATRICIO;PP;MASCULINO
PESQUEIRA;VEREADOR;PROFESSOR VAV√Å;PT;MASCULINO
PESQUEIRA;VEREADOR;ROCHEVANIA ROCHA;PP;FEMININO
PESQUEIRA;VEREADOR;LENI DE MIMOSO;REPUBLICANOS;MASCULINO
S√ÉO JOS√â DO EGITO;VEREADOR;DAMI√ÉO DE CARMINHA;REPUBLICANOS;MASCULINO
S√ÉO JOS√â DO EGITO;VEREADOR;BETO DE MARRECO;PSB;MASCULINO
S√ÉO JOS√â DO EGITO;VEREADOR;LUIZ DE RAIMUNDO;UNI√ÉO;MASCULINO
TORITAMA;VEREADOR;DOUTOR DO S√ÉO JO√ÉO;PP;MASCULINO
VIT√ìRIA DE SANTO ANT√ÉO;VEREADOR;MANO HOLANDA;PV;MASCULINO
VIT√ìRIA DE SANTO ANT√ÉO;VEREADOR;CARLOS HENRIQUE QUEIROZ;PP;MASCULINO
IPUBI;PREFEITO;JO√ÉO MARCOS SIQUEIRA;PSD;MASCULINO
LAGOA DO CARRO;PREFEITO;Z√â LUIZ;PODE;MASCULINO
VERTENTE DO L√âRIO;PREFEITO;DR. HIST√äNIO;MDB;MASCULINO
ARARIPINA;VEREADOR;√ÇNGELA DE TI√ÉO DO GESSO;PSB;FEMININO
FEIRA NOVA;VEREADOR;FERNANDA SOUZA;PSD;FEMININO
FEIRA NOVA;VEREADOR;DANIEL ARAUJO;PSD;MASCULINO
FEIRA NOVA;VEREADOR;JUBA;PODE;MASCULINO
LAGOA DE ITAENGA;VEREADOR;IRM√ÉO ZIEL;SOLIDARIEDADE;MASCULINO
SALGUEIRO;VEREADOR;HENRIQUE LEAL SAMPAIO;PSD;MASCULINO
SALGUEIRO;VEREADOR;PROFESSOR AGAEUDES;REPUBLICANOS;MASCULINO
SALGUEIRO;VEREADOR;ELIANE ALVES;PSB;FEMININO
SANTA MARIA DA BOA VISTA;VEREADOR;GILVANEIDE SILVEIRA;AVANTE;FEMININO
SANTA MARIA DA BOA VISTA;VEREADOR;JUNINHO;AVANTE;MASCULINO
SANTA MARIA DA BOA VISTA;VEREADOR;ANDERSON HARLEM;PP;MASCULINO
SANTA MARIA DA BOA VISTA;VEREADOR;ANT√îNIO GUIMAR√ÉES;PP;MASCULINO
SOLID√ÉO;VEREADOR;J√öNIOR DE LUIZ DE ZUZA;PSB;MASCULINO
SOLID√ÉO;VEREADOR;CLEMILDO DE Z√â NOGUEIRA;PSB;MASCULINO
TAQUARITINGA DO NORTE;VEREADOR;GEOVANE;PSDB;MASCULINO
TAQUARITINGA DO NORTE;VEREADOR;NEGO DE PRETINHO;PL;MASCULINO
ANGELIM;VEREADOR;SANDRO ROCHA;PT;MASCULINO
BODOC√ì;VEREADOR;ADALTO AGENTE DE SA√öDE;MDB;MASCULINO
BONITO;VEREADOR;PAULINHO DE DEV√Å - JUNTOS;PODE;MASCULINO
BONITO;VEREADOR;JUNIOR HER√ÅCLIO;PODE;MASCULINO
BONITO;VEREADOR;VALDIANE;AVANTE;FEMININO
BONITO;VEREADOR;GUSTAVO CD;AVANTE;MASCULINO
BONITO;VEREADOR;JUNIOR DO GADO;PSB;MASCULINO
CANHOTINHO;VEREADOR;GENERCI;PODE;MASCULINO
EXU;VEREADOR;ANDREIA DE RUGA;PP;FEMININO
ITAMB√â;VEREADOR;RAMINHO DO VIDEO;REPUBLICANOS;MASCULINO
ITAMB√â;VEREADOR;LUIZ PAULO DA FRUTA;PP;MASCULINO
ITAPETIM;VEREADOR;CLEUBIA ENFERMEIRA;AVANTE;FEMININO
ITAPETIM;VEREADOR;DELEGADO ANT√îNIO;AVANTE;MASCULINO
ITAPETIM;VEREADOR;NIEDSON ARA√öJO;REPUBLICANOS;MASCULINO
ITAPISSUMA;VEREADOR;IRM√ÉO NIVALDO;PODE;MASCULINO
PARANATAMA;VEREADOR;JOSA MOITA;MDB;MASCULINO
SURUBIM;VEREADOR;MURILO BARBOSA;PP;MASCULINO
SURUBIM;VEREADOR;CARLOS MAUR√çCIO;PSB;MASCULINO
BOM CONSELHO;VEREADOR;CHICO BENTO;PSDB;MASCULINO
BOM CONSELHO;VEREADOR;SANDRA TEN√ìRIO;PSB;FEMININO
BOM CONSELHO;VEREADOR;GILMAR DA LAGOA GRANDE;PSB;MASCULINO
IATI;VEREADOR;EDVALDO VIGILANTE;PSB;MASCULINO
NAZAR√â DA MATA;VEREADOR;VAN DA INTERNET;UNI√ÉO;MASCULINO
NAZAR√â DA MATA;VEREADOR;NINO FILHO;SOLIDARIEDADE;MASCULINO
RIO FORMOSO;VEREADOR;IRM√ÉO AGNALDO;PSD;MASCULINO
TAMANDAR√â;VEREADOR;ZE BA√ö;PDT;MASCULINO
TAMANDAR√â;VEREADOR;NINO OLIVEIRA;PP;MASCULINO
TAMANDAR√â;VEREADOR;IRM√ÉO JOSEMARIO;REPUBLICANOS;MASCULINO
VENTUROSA;VEREADOR;CARL√ÉO;REPUBLICANOS;MASCULINO
ITACURUBA;VEREADOR;DAYZA DE JO√ÉO PAULO;PT;FEMININO
ITACURUBA;VEREADOR;WILLYAN NOVAES;PSB;MASCULINO
JABOAT√ÉO DOS GUARARAPES;VEREADOR;BELARMINO SOUSA;DC;MASCULINO
JABOAT√ÉO DOS GUARARAPES;VEREADOR;ARMANDO JUNIOR;PL;MASCULINO
JABOAT√ÉO DOS GUARARAPES;VEREADOR;ELADIO RANGEL;SOLIDARIEDADE;MASCULINO
JABOAT√ÉO DOS GUARARAPES;VEREADOR;MARCIO DO CURADO;PSD;MASCULINO
JABOAT√ÉO DOS GUARARAPES;VEREADOR;NECO FILHO;PRD;MASCULINO
JATA√öBA;VEREADOR;ANT√îNIO BILOZA;PP;MASCULINO
PAUDALHO;VEREADOR;TATY DA ASSISTENCIA;PDT;FEMININO
TRACUNHA√âM;VEREADOR;REGES MADEIRA;PSD;MASCULINO
TRACUNHA√âM;VEREADOR;GUEBE CABRAL;AVANTE;MASCULINO
CAL√áADO;VEREADOR;D√â DO CALDINHO;PP;MASCULINO
CAL√áADO;VEREADOR;BINO;PP;MASCULINO
CH√É DE ALEGRIA;VEREADOR;BRUNNO RIBEIRO;REPUBLICANOS;MASCULINO
CABROB√ì;VEREADOR;DIM SARAIVA;MDB;MASCULINO
QUIPAP√Å;VEREADOR;GEDEAO RODRIGUES DE SIQUEIRA;PT;MASCULINO
SALO√Å;VEREADOR;LUBIANO;PT;MASCULINO
SALO√Å;VEREADOR;DOUGLAS FRAN√áA;PSD;MASCULINO
IPUBI;VEREADOR;DRA MARY MAGDALA;PP;FEMININO
IPUBI;VEREADOR;DIMAR MAM√âDIO;PSD;MASCULINO
IPUBI;VEREADOR;VENILDO FEITOSA;PSD;MASCULINO
PAULISTA;VEREADOR;ROBERTINHO;PSB;MASCULINO
SERRA TALHADA;VEREADOR;Z√â RAIMUNDO;REPUBLICANOS;MASCULINO
BET√ÇNIA;VEREADOR;LOURDINHA DE DUINHA;PSB;FEMININO
BET√ÇNIA;VEREADOR;RAGNAR ROCHA;PSB;MASCULINO
BET√ÇNIA;VEREADOR;LENA CAZUZA;REPUBLICANOS;FEMININO
PETROLINA;VEREADOR;MANOEL DA ACOSAP;UNI√ÉO;MASCULINO
CUMARU;PREFEITO;ZENEIDE MEDEIROS;PSB;FEMININO
AFR√ÇNIO;PREFEITO;CLOVES RAMOS;MDB;MASCULINO
AGRESTINA;PREFEITO;JOSU√â MENDES;PSB;MASCULINO
BUENOS AIRES;VEREADOR;ROMILDO DE Z√â RUBENS;PL;MASCULINO
ARCOVERDE;VEREADOR;C√âLIA GALINDO;PODE;FEMININO
GARANHUNS;VEREADOR;DARLIANE DE NATALICIO;REPUBLICANOS;FEMININO
GARANHUNS;VEREADOR;NELMA CARVALHO;SOLIDARIEDADE;FEMININO
GARANHUNS;VEREADOR;RUBER NETO;PSD;MASCULINO
LAGOA DO OURO;VEREADOR;LUCIANO GOES;PP;MASCULINO
PASSIRA;VEREADOR;EDINALVA ENFERMEIRA;PSD;FEMININO
ABREU E LIMA;VEREADOR;RENATO ALVES;MDB;MASCULINO
INGAZEIRA;VEREADOR;NETO NUNES;PSB;MASCULINO
SANTA CRUZ DO CAPIBARIBE;VEREADOR;MILLENA DE IAPOI;PP;FEMININO
SANTA CRUZ DO CAPIBARIBE;VEREADOR;CAETANO MOTOS ;PL;MASCULINO
TIMBA√öBA;VEREADOR;DECA DA SUCATA;PSB;MASCULINO
VIC√äNCIA;VEREADOR;AMIGO CILDINHO;UNI√ÉO;MASCULINO
VIC√äNCIA;VEREADOR;FABINHO DIAS;PSD;MASCULINO
VIC√äNCIA;VEREADOR;GERSON NEINHO;PSDB;MASCULINO
XEX√âU;PREFEITO;THIAGO DE MIEL;PSD;MASCULINO
CALUMBI;VEREADOR;VANHIM DO RIACHAO;AVANTE;MASCULINO
CALUMBI;VEREADOR;SARAH DE MAURO;AVANTE;FEMININO
CAPOEIRAS;VEREADOR;TONHO CRIOULO;PODE;MASCULINO
CAPOEIRAS;VEREADOR;EDGAR DO SINDICATO;PT;MASCULINO
CASINHAS;VEREADOR;THIAGO DE BENGALAS;UNI√ÉO;MASCULINO
CASINHAS;VEREADOR;MACIEL SALES;PSDB;MASCULINO
PETROL√ÇNDIA;VEREADOR;VELTO DA AGROVILA;PV;MASCULINO
PETROL√ÇNDIA;VEREADOR;ADELINA MARTINS;PV;FEMININO
SANHAR√ì;VEREADOR;EDMILSON VALENTIM;PSB;MASCULINO
SANTA CRUZ DA BAIXA VERDE;VEREADOR;JOAQUIM MARQUES;PODE;MASCULINO
SANTA CRUZ DA BAIXA VERDE;VEREADOR;ROBERTO DA PAZ;REPUBLICANOS;MASCULINO
SANTA MARIA DO CAMBUC√Å;VEREADOR;NEGO DA SA√öDE;PV;MASCULINO
SANTA MARIA DO CAMBUC√Å;VEREADOR;JOAOZINHO DO PAU SANTO;PSD;MASCULINO
TACAIMB√ì;VEREADOR;NADILSON NUNES;PT;MASCULINO
BREJ√ÉO;PREFEITO;SAULO MARUIM;PP;MASCULINO
CAET√âS;VEREADOR;SANDOVAL MELLO;PP;MASCULINO
CAET√âS;VEREADOR;TONHO DE NINA;REPUBLICANOS;MASCULINO
JUPI;VEREADOR;PAULO C√âSAR;MDB;MASCULINO
JUPI;VEREADOR;ANTONIO DE SANTA RITA;UNI√ÉO;MASCULINO
JUPI;VEREADOR;RICARDO;UNI√ÉO;MASCULINO
PASSIRA;PREFEITO;SILVESTRE;PSD;MASCULINO
PESQUEIRA;PREFEITO;CACIQUE MARCOS;REPUBLICANOS;MASCULINO
CABO DE SANTO AGOSTINHO;VEREADOR;RICARDINHO;REDE;MASCULINO
CABO DE SANTO AGOSTINHO;VEREADOR;MARCELO MACARR√ÉO;PODE;MASCULINO
CEDRO;VEREADOR;SILVIA BEZERRA;PSD;FEMININO
CEDRO;VEREADOR;NANA MARTINS;MDB;MASCULINO
RIACHO DAS ALMAS;VEREADOR;DINHO DA SA√öDE;PSDB;MASCULINO
RIACHO DAS ALMAS;VEREADOR;PASTOR GUSTAVO LUCENA;PSDB;MASCULINO
TABIRA;VEREADOR;MARCOS DE JUDITE;PP;MASCULINO
IBIMIRIM;VEREADOR;DUDA VASCONCELOS;PSDB;MASCULINO
JATOB√Å;VEREADOR;NEN√âM DO HOSPITAL;REPUBLICANOS;MASCULINO
JATOB√Å;VEREADOR;TOINHO DE VAL√ö;REPUBLICANOS;MASCULINO
JOAQUIM NABUCO;VEREADOR;DAVIDSON DOIDO;REPUBLICANOS;MASCULINO
JOAQUIM NABUCO;VEREADOR;LUCICLEIDE;PSB;FEMININO
SANTA CRUZ;VEREADOR;SOLIDADE DA SAUDE ;PODE;FEMININO
S√ÉO LOUREN√áO DA MATA;VEREADOR;IRM√É GLAUBA;SOLIDARIEDADE;FEMININO
S√ÉO LOUREN√áO DA MATA;VEREADOR;ARLLAN DOURADO;PSB;MASCULINO
BEZERROS;PREFEITO;LUCIELLE LAURENTINO;UNI√ÉO;FEMININO
RIBEIR√ÉO;PREFEITO;CAROL JORD√ÉO;PSB;FEMININO
BARRA DE GUABIRABA;VEREADOR;MARIA AUN√çLIA;PSDB;FEMININO
CUST√ìDIA;PREFEITO;MANOEL MESSIAS;PSD;MASCULINO
CARUARU;VEREADOR;ANDERSON CORREIA;PP;MASCULINO
CARUARU;VEREADOR;CARLINHOS DA CEACA;PODE;MASCULINO
CARUARU;VEREADOR;BRUNO LAMBRETA;PSDB;MASCULINO
CORRENTES;VEREADOR;ARNALDO DE PO√áO COMPRIDO;PSDB;MASCULINO
OROB√ì;VEREADOR;CHEFE;UNI√ÉO;MASCULINO
SIRINHA√âM;VEREADOR;JAIRO DE Z√â ALFREDO;PSB;MASCULINO
SIRINHA√âM;VEREADOR;FIO;PP;MASCULINO
SIRINHA√âM;VEREADOR;VERINALDO AROUXA;PSD;MASCULINO
CAMARAGIBE;PREFEITO;DIEGO CABRAL;REPUBLICANOS;MASCULINO
ESCADA;VEREADOR;PEDRO JORGE;AVANTE;MASCULINO
ESCADA;VEREADOR;SANDRA DO MATADOURO ;PMB;FEMININO
ESCADA;VEREADOR;Z√â AMARO DO ALVORADA;PRD;MASCULINO
GOIANA;VEREADOR;PEDRO HENRIQUE;REPUBLICANOS;MASCULINO
GOIANA;VEREADOR;ZILDINHO BARBOSA;AVANTE;MASCULINO
GOIANA;VEREADOR;RENATO SANDRE;AGIR;MASCULINO
GOIANA;VEREADOR;PAULA BRITO;PP;FEMININO
SERT√ÇNIA;VEREADOR;WASHINGTON PASSOS ;PSB;MASCULINO
SERT√ÇNIA;VEREADOR;LUIZ ABEL;PL;MASCULINO
SERT√ÇNIA;VEREADOR;JUNH√ÉO LINS;PSD;MASCULINO
VERTENTES;VEREADOR;KLEITON VIEIRA;PSD;MASCULINO
BARREIROS;VEREADOR;HENRIQUE PRODU√á√ïES;PP;MASCULINO
BARREIROS;VEREADOR;CRISTIANO DA SA√öDE;PSD;MASCULINO
FERREIROS;VEREADOR;WAGNER ROSENDO;PODE;MASCULINO
IGARASSU;VEREADOR;J√öNIOR DO HABITAT PE;PODE;MASCULINO
IGARASSU;VEREADOR;SA√öBA DO POV√ÉO;SOLIDARIEDADE;MASCULINO
IGARASSU;VEREADOR;MAGUILA;PSD;MASCULINO
MACHADOS;VEREADOR;AMAIR;PSB;MASCULINO
MARAIAL;VEREADOR;JAIR O G√äMEO;PC do B;MASCULINO
CORT√äS;VEREADOR;JOSINALDO NASCIMENTO;PSB;MASCULINO
PO√á√ÉO;VEREADOR;CAIQUE ALBERTO;PP;MASCULINO
S√ÉO JOAQUIM DO MONTE;VEREADOR;EMALBA DE VEVINHO;PSDB;FEMININO
RECIFE;VEREADOR;FL√ÅVIA DE NADEGI;PV;FEMININO
S√ÉO JOAQUIM DO MONTE;VEREADOR;HENRIQUE DE Z√â DO POVO;PSD;MASCULINO
TUPARETAMA;VEREADOR;JOEL GOMES;AVANTE;MASCULINO
TUPARETAMA;VEREADOR;CARLOS ROBERTO DO SINDICATO;AVANTE;MASCULINO
TUPARETAMA;VEREADOR;VANDINHA DA SA√öDE;PODE;FEMININO
TUPARETAMA;VEREADOR;TANTA;PODE;MASCULINO
RECIFE;VEREADOR;H√âLIO GUABIRABA;PSB;MASCULINO
RECIFE;VEREADOR;WILTON BRITO;PSB;MASCULINO
RECIFE;VEREADOR;J√öNIOR DE CLETO;PSB;MASCULINO
RECIFE;VEREADOR;ANDREZA ROMERO;PSB;FEMININO
VERDEJANTE;VEREADOR;Z√â CARLOS;REPUBLICANOS;MASCULINO
VERDEJANTE;VEREADOR;EDIL√ÇNIO CARVALHO;PSDB;MASCULINO
BONITO;PREFEITO;DR. RUY;PSB;MASCULINO
TERRA NOVA;PREFEITO;DINHA MOROR√ì;AVANTE;MASCULINO
